City,Date,AQI
Bengaluru,2018 W28,62.14285714
Bengaluru,2018 W29,58
Bengaluru,2018 W30,63.71428571
Bengaluru,2018 W31,69.42857143
Bengaluru,2018 W32,60.71428571
Bengaluru,2018 W33,55.42857143
Bengaluru,2018 W34,64.14285714
Bengaluru,2018 W35,65.71428571
Bengaluru,2018 W36,68.57142857
Bengaluru,2018 W37,83.71428571
Bengaluru,2018 W38,76.28571429
Bengaluru,2018 W39,78.71428571
Bengaluru,2018 W40,65.57142857
Bengaluru,2018 W41,107.7142857
Bengaluru,2018 W42,87
Bengaluru,2018 W43,111.2857143
Bengaluru,2018 W44,95.28571429
Bengaluru,2018 W45,103.8571429
Bengaluru,2018 W46,114.7142857
Bengaluru,2018 W47,96.14285714
Bengaluru,2018 W48,109.8571429
Bengaluru,2018 W49,96.85714286
Bengaluru,2018 W50,137.7142857
Bengaluru,2018 W51,136.4285714
Bengaluru,2018 W52,113
Bengaluru,2019 W01,111.4285714
Bengaluru,2019 W02,123.5714286
Bengaluru,2019 W03,119.1428571
Bengaluru,2019 W04,120.5714286
Bengaluru,2019 W05,105
Bengaluru,2019 W06,114
Bengaluru,2019 W07,97.42857143
Bengaluru,2019 W08,102.5714286
Bengaluru,2019 W09,118.1428571
Bengaluru,2019 W10,134.1428571
Bengaluru,2019 W11,108
Bengaluru,2019 W12,117
Bengaluru,2019 W13,129.7142857
Bengaluru,2019 W14,130.1428571
Bengaluru,2019 W15,122
Bengaluru,2019 W16,116
Bengaluru,2019 W17,126.8571429
Bengaluru,2019 W18,120.2857143
Bengaluru,2019 W19,109
Bengaluru,2019 W20,105.5714286
Bengaluru,2019 W21,98.85714286
Bengaluru,2019 W22,97.71428571
Bengaluru,2019 W23,81
Bengaluru,2019 W24,56.57142857
Bengaluru,2019 W25,67
Bengaluru,2019 W26,70.71428571
Bengaluru,2019 W27,65.42857143
Bengaluru,2019 W28,67.42857143
Bengaluru,2019 W29,64.28571429
Bengaluru,2019 W30,59.42857143
Bengaluru,2019 W31,59.42857143
Bengaluru,2019 W32,52.14285714
Bengaluru,2019 W33,61.14285714
Bengaluru,2019 W34,67.14285714
Bengaluru,2019 W35,57.42857143
Bengaluru,2019 W36,56.42857143
Bengaluru,2019 W37,66.57142857
Bengaluru,2019 W38,83.28571429
Bengaluru,2019 W39,87.28571429
Bengaluru,2019 W40,92
Bengaluru,2019 W41,96
Bengaluru,2019 W42,70.57142857
Bengaluru,2019 W43,66.28571429
Bengaluru,2019 W44,80.57142857
Bengaluru,2019 W45,135.4285714
Bengaluru,2019 W46,88.28571429
Bengaluru,2019 W47,82
Bengaluru,2019 W48,80.14285714
Bengaluru,2019 W49,82.71428571
Bengaluru,2019 W50,72.85714286
Bengaluru,2019 W51,82.71428571
Bengaluru,2019 W52,87.42857143
Bengaluru,2020 W01,93
Bengaluru,2020 W02,85.85714286
Bengaluru,2020 W03,101.4285714
Bengaluru,2020 W04,92.14285714
Bengaluru,2020 W05,104.8571429
Bengaluru,2020 W06,92.14285714
Bengaluru,2020 W07,101.8571429
Bengaluru,2020 W08,92.28571429
Bengaluru,2020 W09,99.85714286
Bengaluru,2020 W10,110.2857143
Bengaluru,2020 W11,92.57142857
Bengaluru,2020 W12,89.57142857
Bengaluru,2020 W13,75
Bengaluru,2020 W14,72.42857143
Bengaluru,2020 W15,67
Bengaluru,2020 W16,74.14285714
Bengaluru,2020 W17,64
Bengaluru,2020 W18,67.14285714
Bengaluru,2020 W19,80.57142857
Bengaluru,2020 W20,72.57142857
Bengaluru,2020 W21,70.71428571
Bengaluru,2020 W22,69.14285714
Bengaluru,2020 W23,48.42857143
Bengaluru,2020 W24,55.71428571
Bengaluru,2020 W25,56.71428571
Bengaluru,2020 W26,57.28571429
Bengaluru,2020 W27,57
Chennai,2015 W13,381.3333333
Chennai,2015 W14,293.2857143
Chennai,2015 W15,166.7142857
Chennai,2015 W16,198.2857143
Chennai,2015 W17,143.7142857
Chennai,2015 W18,125.8571429
Chennai,2015 W19,134.4285714
Chennai,2015 W20,200.4285714
Chennai,2015 W21,171.1428571
Chennai,2015 W22,218.7142857
Chennai,2015 W23,188.7142857
Chennai,2015 W24,122.4285714
Chennai,2015 W25,135.4285714
Chennai,2015 W26,158.7142857
Chennai,2015 W27,195.4285714
Chennai,2015 W28,189.2857143
Chennai,2015 W29,166
Chennai,2015 W30,129
Chennai,2015 W31,149.4285714
Chennai,2015 W32,126.7142857
Chennai,2015 W33,104
Chennai,2015 W34,128.2857143
Chennai,2015 W35,114.5714286
Chennai,2015 W36,102.5714286
Chennai,2015 W37,95.57142857
Chennai,2015 W38,105.5714286
Chennai,2015 W39,148.4285714
Chennai,2015 W40,152.5714286
Chennai,2015 W41,108.4285714
Chennai,2015 W42,174.8571429
Chennai,2015 W43,161
Chennai,2015 W44,143
Chennai,2015 W45,145.2857143
Chennai,2015 W46,125.5714286
Chennai,2015 W47,105.1428571
Chennai,2015 W48,102
Chennai,2015 W49,98.28571429
Chennai,2015 W50,106.1428571
Chennai,2015 W51,115.8571429
Chennai,2015 W52,121
Chennai,2015 W53,145.7142857
Chennai,2016 W01,130.8571429
Chennai,2016 W02,138.7142857
Chennai,2016 W03,154.7142857
Chennai,2016 W04,162.1428571
Chennai,2016 W05,202.7142857
Chennai,2016 W06,173.4285714
Chennai,2016 W07,150.4285714
Chennai,2016 W08,101
Chennai,2016 W09,142.4285714
Chennai,2016 W10,145.8571429
Chennai,2016 W11,193.4285714
Chennai,2016 W12,155.2857143
Chennai,2016 W13,134
Chennai,2016 W14,135.5714286
Chennai,2016 W15,127.4285714
Chennai,2016 W16,127.5714286
Chennai,2016 W17,142.4285714
Chennai,2016 W18,130.4285714
Chennai,2016 W19,149.5714286
Chennai,2016 W20,123.4285714
Chennai,2016 W21,107.7142857
Chennai,2016 W22,103.5714286
Chennai,2016 W23,88
Chennai,2016 W24,94.85714286
Chennai,2016 W25,90.85714286
Chennai,2016 W26,102
Chennai,2016 W27,127.2857143
Chennai,2016 W28,75.85714286
Chennai,2016 W29,73.85714286
Chennai,2016 W30,84
Chennai,2016 W31,96.14285714
Chennai,2016 W32,134.8571429
Chennai,2016 W33,147
Chennai,2016 W34,132.2857143
Chennai,2016 W35,190.4285714
Chennai,2016 W36,186.8571429
Chennai,2016 W37,177.2857143
Chennai,2016 W38,270.5714286
Chennai,2016 W39,86.71428571
Chennai,2016 W40,89.85714286
Chennai,2016 W41,111.4285714
Chennai,2016 W42,177.4285714
Chennai,2016 W43,234.2857143
Chennai,2016 W44,106.5714286
Chennai,2016 W45,150.4285714
Chennai,2016 W46,93.85714286
Chennai,2016 W47,182.2857143
Chennai,2016 W48,151.5714286
Chennai,2016 W49,118.8571429
Chennai,2016 W50,89
Chennai,2016 W51,86
Chennai,2016 W52,103.1428571
Chennai,2017 W01,103.7142857
Chennai,2017 W02,219.4285714
Chennai,2017 W03,104.1428571
Chennai,2017 W04,88.57142857
Chennai,2017 W05,97.42857143
Chennai,2017 W06,172.7142857
Chennai,2017 W07,117.5714286
Chennai,2017 W08,83.71428571
Chennai,2017 W09,110.7142857
Chennai,2017 W10,122
Chennai,2017 W11,131.2857143
Chennai,2017 W12,95
Chennai,2017 W13,77.14285714
Chennai,2017 W14,75.28571429
Chennai,2017 W15,91.85714286
Chennai,2017 W16,165.4285714
Chennai,2017 W17,102.1428571
Chennai,2017 W18,68.14285714
Chennai,2017 W19,80.85714286
Chennai,2017 W20,194.2857143
Chennai,2017 W21,158
Chennai,2017 W22,94.85714286
Chennai,2017 W23,78.85714286
Chennai,2017 W24,74.71428571
Chennai,2017 W25,80.28571429
Chennai,2017 W26,86.71428571
Chennai,2017 W27,89
Chennai,2017 W28,88.28571429
Chennai,2017 W29,89.42857143
Chennai,2017 W30,142.4285714
Chennai,2017 W31,122
Chennai,2017 W32,72.71428571
Chennai,2017 W33,84.85714286
Chennai,2017 W34,85.14285714
Chennai,2017 W35,97.71428571
Chennai,2017 W36,91.28571429
